timestamp,sm,mem,fb
2022-08-30T20:34:58,0,0,12
2022-08-30T20:34:59,1.5,0,499
2022-08-30T20:35:00,2,0,715
2022-08-30T20:35:01,3,0,1002
2022-08-30T20:35:02,5,0,1301
2022-08-30T20:35:03,0.5,0,4277
2022-08-30T20:35:04,61.5,15,14035
2022-08-30T20:35:05,15,2.5,14035
2022-08-30T20:35:06,0,0,14035
2022-08-30T20:35:07,0,0,14035
2022-08-30T20:35:08,0,0,14035
2022-08-30T20:35:09,1.5,0,14035
2022-08-30T20:35:10,53.5,12.5,15097
2022-08-30T20:35:11,51,12.5,15097
2022-08-30T20:35:12,59,11.5,15097
2022-08-30T20:35:13,19.5,4.5,15097
2022-08-30T20:35:14,53,11.5,15097
2022-08-30T20:35:15,70,15,15097
2022-08-30T20:35:16,57,15,15097
2022-08-30T20:35:17,44,10,15097
2022-08-30T20:35:19,68.5,17,15097
2022-08-30T20:35:20,35.5,7.5,15097
2022-08-30T20:35:21,87.5,15.5,15097
2022-08-30T20:35:22,26,6,15097
2022-08-30T20:35:23,76,12.5,15097
2022-08-30T20:35:24,27.5,6,15097
2022-08-30T20:35:25,72,10,15097
2022-08-30T20:35:26,61.5,14,15097
2022-08-30T20:35:27,64,15.5,15097
2022-08-30T20:35:28,54,13,15097
2022-08-30T20:35:29,54,12.5,15097
2022-08-30T20:35:30,36.5,6,15097
2022-08-30T20:35:31,45,11,15097
2022-08-30T20:35:32,57,14,15097
2022-08-30T20:35:33,55.5,11.5,15097
2022-08-30T20:35:34,49,10.5,15097
2022-08-30T20:35:35,45.5,11,15097
2022-08-30T20:35:36,54,12,15097
2022-08-30T20:35:37,57.5,12.5,15097
2022-08-30T20:35:38,73,15.5,15097
2022-08-30T20:35:40,27,7.5,15097
2022-08-30T20:35:41,83,11,15097
2022-08-30T20:35:42,49,13,15097
2022-08-30T20:35:43,46,7,15097
2022-08-30T20:35:44,0,0,15097
2022-08-30T20:35:45,0,0,15097
2022-08-30T20:35:46,61,14,15097
2022-08-30T20:35:47,47,9,15097
2022-08-30T20:35:48,65.5,12,15097
2022-08-30T20:35:49,43.5,5.5,15097
2022-08-30T20:35:50,48,12,15097
2022-08-30T20:35:51,43,11,15097
2022-08-30T20:35:52,49.5,12,15097
2022-08-30T20:35:53,40,10,15097
2022-08-30T20:35:54,58,14,15097
2022-08-30T20:35:55,52,11,15097
2022-08-30T20:35:56,52.5,11,15097
2022-08-30T20:35:57,52,11,15097
2022-08-30T20:35:59,71.5,15.5,15097
2022-08-30T20:36:00,43.5,11.5,15097
2022-08-30T20:36:01,63.5,7.5,15097
2022-08-30T20:36:02,60,15.5,15097
2022-08-30T20:36:03,42.5,10,15097
2022-08-30T20:36:04,71,15,15097
2022-08-30T20:36:05,39,10.5,15097
2022-08-30T20:36:06,51.5,8.5,15097
2022-08-30T20:36:07,54,12,15097
2022-08-30T20:36:08,59,11.5,15097
2022-08-30T20:36:09,60,12.5,15097
2022-08-30T20:36:10,44,10,15097
2022-08-30T20:36:11,51,12,15097
2022-08-30T20:36:12,51.5,11.5,15097
2022-08-30T20:36:13,42,8.5,15097
2022-08-30T20:36:14,48,11.5,15097
2022-08-30T20:36:15,72.5,16.5,15097
2022-08-30T20:36:16,65.5,17,15097
2022-08-30T20:36:17,49,10.5,15097
2022-08-30T20:36:19,73,18,15097
2022-08-30T20:36:20,31,7,15097
2022-08-30T20:36:21,76.5,12,15097
2022-08-30T20:36:22,35,3.5,15097
2022-08-30T20:36:23,80,15,15097
2022-08-30T20:36:24,44,9,15097
2022-08-30T20:36:25,66.5,12,15097
2022-08-30T20:36:26,47.5,12,15097
2022-08-30T20:36:27,60.5,11.5,15097
2022-08-30T20:36:28,66.5,14.5,15097
2022-08-30T20:36:29,56,11,15097
2022-08-30T20:36:30,65,11,15097
2022-08-30T20:36:31,55,13.5,15097
2022-08-30T20:36:32,61.5,13,15097
2022-08-30T20:36:33,58,9.5,15097
2022-08-30T20:36:34,56,11.5,15097
2022-08-30T20:36:35,55,12,15097
2022-08-30T20:36:36,50.5,10.5,15097
2022-08-30T20:36:37,50.5,10.5,15097
2022-08-30T20:36:38,53,11.5,15097
2022-08-30T20:36:40,84,17,15097
2022-08-30T20:36:41,29,7,15097
2022-08-30T20:36:42,74.5,12,15097
2022-08-30T20:36:43,68,17,15097
2022-08-30T20:36:44,59,15,15097
2022-08-30T20:36:45,55.5,11.5,15097
2022-08-30T20:36:46,73.5,15,15097
2022-08-30T20:36:47,27,3.5,15097
2022-08-30T20:36:48,67,14,15097
2022-08-30T20:36:49,46.5,8.5,15097
2022-08-30T20:36:50,64.5,11,15097
2022-08-30T20:36:51,60,14,15097
2022-08-30T20:36:52,61.5,15,15097
2022-08-30T20:36:53,56,12,15097
2022-08-30T20:36:54,59.5,13,15097
