timestamp,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
2022-08-30T19:58:50,4.21,0.00,1.93,1.74,0.00,0.23,0.00,0.00,0.00,91.90
2022-08-30T19:58:51,1.58,0.00,1.84,0.65,0.00,0.14,0.00,0.00,0.00,95.79
2022-08-30T19:58:52,0.55,0.00,1.31,0.69,0.00,0.10,0.00,0.00,0.00,97.35
2022-08-30T19:58:53,0.78,0.00,1.36,0.54,0.00,0.08,0.00,0.00,0.00,97.25
2022-08-30T19:58:54,0.82,0.00,1.60,0.29,0.00,0.17,0.00,0.00,0.00,97.11
2022-08-30T19:58:55,0.85,0.00,1.80,0.05,0.00,0.05,0.00,0.00,0.00,97.25
2022-08-30T19:58:56,1.46,0.00,1.68,0.09,0.00,0.10,0.00,0.00,0.00,96.67
2022-08-30T19:58:57,3.60,0.00,2.69,0.06,0.00,0.04,0.00,0.00,0.00,93.61
2022-08-30T19:58:58,2.19,0.00,2.63,0.28,0.00,0.25,0.00,0.00,0.00,94.66
2022-08-30T19:58:59,0.44,0.00,2.38,0.03,0.00,0.04,0.00,0.00,0.00,97.12
2022-08-30T19:59:00,1.90,0.00,2.49,1.68,0.00,0.11,0.00,0.00,0.00,93.82
2022-08-30T19:59:01,2.99,0.00,2.48,1.06,0.00,0.08,0.00,0.00,0.00,93.40
2022-08-30T19:59:02,3.65,0.00,2.61,0.04,0.00,0.11,0.00,0.00,0.00,93.59
2022-08-30T19:59:03,4.64,0.00,2.15,0.54,0.00,0.12,0.00,0.00,0.00,92.55
2022-08-30T19:59:04,3.55,0.00,2.54,0.37,0.00,0.20,0.00,0.00,0.00,93.34
2022-08-30T19:59:05,4.74,0.00,1.72,0.04,0.00,0.05,0.00,0.00,0.00,93.46
2022-08-30T19:59:06,3.65,0.00,2.33,0.68,0.00,0.05,0.00,0.00,0.00,93.30
2022-08-30T19:59:07,4.85,0.00,1.89,0.01,0.00,0.03,0.00,0.00,0.00,93.22
2022-08-30T19:59:08,4.08,0.00,2.14,0.43,0.00,0.01,0.00,0.00,0.00,93.34
2022-08-30T19:59:09,5.42,0.00,1.41,0.00,0.00,0.01,0.00,0.00,0.00,93.15
2022-08-30T19:59:10,3.43,0.00,2.46,0.56,0.00,0.09,0.00,0.00,0.00,93.46
2022-08-30T19:59:11,4.85,0.00,1.88,0.30,0.00,0.04,0.00,0.00,0.00,92.94
2022-08-30T19:59:12,4.27,0.00,2.10,0.09,0.00,0.03,0.00,0.00,0.00,93.51
2022-08-30T19:59:13,5.18,0.00,1.48,0.04,0.00,0.04,0.00,0.00,0.00,93.27
2022-08-30T19:59:14,4.57,0.00,2.06,0.05,0.00,0.01,0.00,0.00,0.00,93.30
2022-08-30T19:59:15,4.79,0.00,1.51,0.21,0.00,0.04,0.00,0.00,0.00,93.45
2022-08-30T19:59:16,4.16,0.00,2.66,0.58,0.00,0.09,0.00,0.00,0.00,92.51
2022-08-30T19:59:17,5.29,0.00,1.11,0.19,0.00,0.03,0.00,0.00,0.00,93.38
2022-08-30T19:59:18,2.44,0.00,2.03,2.23,0.00,0.10,0.00,0.00,0.00,93.21
2022-08-30T19:59:19,5.03,0.00,1.88,0.04,0.00,0.12,0.00,0.00,0.00,92.94
2022-08-30T19:59:20,3.16,0.00,1.15,2.26,0.00,0.08,0.00,0.00,0.00,93.35
2022-08-30T19:59:21,0.44,0.00,1.08,4.99,0.00,0.01,0.00,0.00,0.00,93.48
2022-08-30T19:59:22,1.88,0.00,2.37,2.34,0.00,0.09,0.00,0.00,0.00,93.33
2022-08-30T19:59:23,5.11,0.00,1.77,0.10,0.00,0.07,0.00,0.00,0.00,92.95
2022-08-30T19:59:24,3.49,0.00,2.52,0.56,0.00,0.11,0.00,0.00,0.00,93.32
2022-08-30T19:59:25,5.12,0.00,1.66,0.00,0.00,0.07,0.00,0.00,0.00,93.14
2022-08-30T19:59:26,4.79,0.00,1.58,0.18,0.00,0.08,0.00,0.00,0.00,93.38
2022-08-30T19:59:27,4.79,0.00,1.99,0.01,0.00,0.03,0.00,0.00,0.00,93.18
2022-08-30T19:59:28,4.84,0.00,2.25,0.09,0.00,0.04,0.00,0.00,0.00,92.78
2022-08-30T19:59:29,5.12,0.00,1.55,0.00,0.00,0.03,0.00,0.00,0.00,93.31
2022-08-30T19:59:30,4.57,0.00,1.97,0.04,0.00,0.03,0.00,0.00,0.00,93.40
2022-08-30T19:59:31,5.00,0.00,1.70,0.01,0.00,0.00,0.00,0.00,0.00,93.29
2022-08-30T19:59:32,4.51,0.00,2.05,0.01,0.00,0.03,0.00,0.00,0.00,93.40
2022-08-30T19:59:33,5.31,0.00,1.62,0.07,0.00,0.02,0.00,0.00,0.00,92.97
2022-08-30T19:59:34,4.42,0.00,2.23,0.18,0.00,0.04,0.00,0.00,0.00,93.15
2022-08-30T19:59:35,5.24,0.00,1.51,0.00,0.00,0.01,0.00,0.00,0.00,93.23
2022-08-30T19:59:36,4.60,0.00,2.04,0.01,0.00,0.03,0.00,0.00,0.00,93.32
2022-08-30T19:59:37,5.29,0.00,1.54,0.00,0.00,0.02,0.00,0.00,0.00,93.15
2022-08-30T19:59:38,3.99,0.00,2.58,0.15,0.00,0.03,0.00,0.00,0.00,93.26
2022-08-30T19:59:39,5.32,0.00,1.55,0.00,0.00,0.02,0.00,0.00,0.00,93.10
2022-08-30T19:59:40,4.28,0.00,2.19,0.00,0.00,0.01,0.00,0.00,0.00,93.52
2022-08-30T19:59:41,5.22,0.00,1.74,0.00,0.00,0.01,0.00,0.00,0.00,93.03
2022-08-30T19:59:42,4.71,0.00,1.81,0.04,0.00,0.06,0.00,0.00,0.00,93.38
2022-08-30T19:59:43,4.93,0.00,1.88,0.09,0.00,0.05,0.00,0.00,0.00,93.06
