timestamp,sm,mem,fb
2022-08-28T07:20:22,1,0,423
2022-08-28T07:20:23,2,0,625
2022-08-28T07:20:24,3,0,861
2022-08-28T07:20:25,1,0,1147
2022-08-28T07:20:26,1,0,1147
2022-08-28T07:20:27,17,5,11121
2022-08-28T07:20:28,68,16,13883
2022-08-28T07:20:29,37,11,14945
2022-08-28T07:20:30,53,12,14945
2022-08-28T07:20:31,21,6,14945
2022-08-28T07:20:32,53,13,14945
2022-08-28T07:20:33,53,13,14945
2022-08-28T07:20:34,41,10,14945
2022-08-28T07:20:35,54,13,14945
2022-08-28T07:20:36,44,12,14945
2022-08-28T07:20:37,48,12,14945
2022-08-28T07:20:38,31,8,14945
2022-08-28T07:20:39,48,12,14945
2022-08-28T07:20:40,0,0,14945
2022-08-28T07:20:41,48,12,14945
2022-08-28T07:20:42,32,7,14945
2022-08-28T07:20:43,0,0,14945
2022-08-28T07:20:44,44,11,14945
2022-08-28T07:20:45,56,14,14945
2022-08-28T07:20:46,44,11,14945
2022-08-28T07:20:47,56,13,14945
2022-08-28T07:20:49,0,0,14945
2022-08-28T07:20:50,0,0,14945
2022-08-28T07:20:51,0,0,14945
2022-08-28T07:20:52,0,0,14945
2022-08-28T07:20:53,0,0,14945
2022-08-28T07:20:54,0,0,14945
2022-08-28T07:20:55,70,17,14945
2022-08-28T07:20:56,15,3,14945
2022-08-28T07:20:57,37,10,14945
2022-08-28T07:20:58,43,9,14945
2022-08-28T07:20:59,47,12,14945
2022-08-28T07:21:00,39,8,14945
2022-08-28T07:21:01,0,0,14945
2022-08-28T07:21:02,48,12,14945
2022-08-28T07:21:03,40,10,14945
2022-08-28T07:21:04,49,12,14945
2022-08-28T07:21:05,56,14,14945
2022-08-28T07:21:06,47,12,14945
2022-08-28T07:21:07,44,11,14945
2022-08-28T07:21:08,52,13,14945
2022-08-28T07:21:09,48,12,14945
2022-08-28T07:21:10,38,10,14945
2022-08-28T07:21:11,44,11,14945
2022-08-28T07:21:12,5,1,14945
2022-08-28T07:21:13,40,10,14945
2022-08-28T07:21:15,29,10,14945
2022-08-28T07:21:16,52,10,14945
2022-08-28T07:21:17,37,11,14945
2022-08-28T07:21:18,38,7,14945
2022-08-28T07:21:19,69,17,14945
2022-08-28T07:21:20,44,12,14945
2022-08-28T07:21:21,40,8,14945
2022-08-28T07:21:22,63,16,14945
2022-08-28T07:21:23,63,15,14945
2022-08-28T07:21:24,39,7,14945
2022-08-28T07:21:25,0,0,14945
2022-08-28T07:21:26,0,0,14945
2022-08-28T07:21:27,0,0,14945
2022-08-28T07:21:28,0,0,14945
2022-08-28T07:21:29,0,0,14945
2022-08-28T07:21:30,49,12,14945
2022-08-28T07:21:31,35,7,14945
2022-08-28T07:21:32,48,12,14945
2022-08-28T07:21:33,26,5,14945
2022-08-28T07:21:34,44,11,14945
2022-08-28T07:21:35,34,7,14945
2022-08-28T07:21:36,44,11,14945
2022-08-28T07:21:37,32,7,14945
2022-08-28T07:21:38,40,10,14945
2022-08-28T07:21:39,40,10,14945
2022-08-28T07:21:41,81,20,14945
2022-08-28T07:21:42,21,7,14945
2022-08-28T07:21:43,59,14,14945
2022-08-28T07:21:44,14,5,14945
2022-08-28T07:21:45,68,17,14945
2022-08-28T07:21:46,46,12,14945
2022-08-28T07:21:47,37,7,14945
2022-08-28T07:21:48,19,6,14945
2022-08-28T07:21:49,56,13,14945
2022-08-28T07:21:50,35,10,14945
2022-08-28T07:21:51,49,11,14945
2022-08-28T07:21:52,47,12,14945
2022-08-28T07:21:53,50,11,14945
2022-08-28T07:21:54,54,13,14945
2022-08-28T07:21:55,9,2,14945
2022-08-28T07:21:56,48,12,14945
2022-08-28T07:21:57,57,15,14945
2022-08-28T07:21:58,48,12,14945
2022-08-28T07:21:59,9,2,14945
2022-08-28T07:22:00,0,0,14945
2022-08-28T07:22:01,0,0,14945
2022-08-28T07:22:02,0,0,14945
2022-08-28T07:22:03,0,0,14945
2022-08-28T07:22:04,21,6,14945
2022-08-28T07:22:05,41,10,14945
2022-08-28T07:22:07,36,11,14945
2022-08-28T07:22:08,44,9,14945
2022-08-28T07:22:09,69,17,14945
2022-08-28T07:22:10,50,13,14945
2022-08-28T07:22:11,42,8,14945
2022-08-28T07:22:12,69,17,14945
2022-08-28T07:22:13,8,1,14945
2022-08-28T07:22:14,33,9,14945
2022-08-28T07:22:15,51,12,14945
2022-08-28T07:22:16,4,1,14945
2022-08-28T07:22:17,69,17,14945
2022-08-28T07:22:18,40,10,14945
2022-08-28T07:22:19,52,12,14945
2022-08-28T07:22:20,40,11,14945
2022-08-28T07:22:21,39,9,14945
2022-08-28T07:22:22,0,0,14945
2022-08-28T07:22:23,44,11,14945
2022-08-28T07:22:24,43,9,14945
2022-08-28T07:22:25,51,13,14945
2022-08-28T07:22:26,42,10,14945
2022-08-28T07:22:27,44,11,14945
2022-08-28T07:22:28,65,17,14945
2022-08-28T07:22:29,44,11,14945
2022-08-28T07:22:30,44,11,14945
2022-08-28T07:22:31,44,11,14945
2022-08-28T07:22:32,39,9,14945
2022-08-28T07:22:33,40,10,14945
2022-08-28T07:22:34,40,10,14945
