timestamp,sm,mem,fb
2022-08-28T04:22:15,0,0,12
2022-08-28T04:22:16,1,0,509
2022-08-28T04:22:17,1,0,735
2022-08-28T04:22:18,3,0,967
2022-08-28T04:22:19,2,0,1147
2022-08-28T04:22:21,9,2,11121
2022-08-28T04:22:22,63,15,13883
2022-08-28T04:22:23,0,0,13883
2022-08-28T04:22:24,0,0,13883
2022-08-28T04:22:25,0,0,13883
2022-08-28T04:22:26,0,0,13883
2022-08-28T04:22:27,38,10,14945
2022-08-28T04:22:28,48,11,14945
2022-08-28T04:22:29,60,15,14945
2022-08-28T04:22:30,49,13,14945
2022-08-28T04:22:31,49,12,14945
2022-08-28T04:22:32,45,11,14945
2022-08-28T04:22:33,46,11,14945
2022-08-28T04:22:34,54,13,14945
2022-08-28T04:22:35,63,16,14945
2022-08-28T04:22:36,46,12,14945
2022-08-28T04:22:37,48,12,14945
2022-08-28T04:22:38,65,15,14945
2022-08-28T04:22:39,56,14,14945
2022-08-28T04:22:40,49,12,14945
2022-08-28T04:22:41,52,12,14945
2022-08-28T04:22:42,65,18,14945
2022-08-28T04:22:43,44,11,14945
2022-08-28T04:22:44,57,14,14945
2022-08-28T04:22:45,35,8,14945
2022-08-28T04:22:46,40,10,14945
2022-08-28T04:22:48,40,12,14945
2022-08-28T04:22:49,40,8,14945
2022-08-28T04:22:50,61,15,14945
2022-08-28T04:22:51,50,12,14945
2022-08-28T04:22:52,65,16,14945
2022-08-28T04:22:53,55,12,14945
2022-08-28T04:22:54,57,14,14945
2022-08-28T04:22:55,47,12,14945
2022-08-28T04:22:56,61,15,14945
2022-08-28T04:22:57,36,10,14945
2022-08-28T04:22:58,44,10,14945
2022-08-28T04:22:59,0,0,14945
2022-08-28T04:23:00,0,0,14945
2022-08-28T04:23:01,0,0,14945
2022-08-28T04:23:02,0,0,14945
2022-08-28T04:23:03,48,12,14945
2022-08-28T04:23:04,66,17,14945
2022-08-28T04:23:05,65,18,14945
2022-08-28T04:23:06,51,12,14945
2022-08-28T04:23:07,52,13,14945
2022-08-28T04:23:08,44,11,14945
2022-08-28T04:23:09,38,9,14945
2022-08-28T04:23:10,53,13,14945
2022-08-28T04:23:11,44,11,14945
2022-08-28T04:23:12,44,11,14945
2022-08-28T04:23:13,44,11,14945
2022-08-28T04:23:15,55,14,14945
2022-08-28T04:23:16,25,5,14945
2022-08-28T04:23:17,81,20,14945
2022-08-28T04:23:18,51,14,14945
2022-08-28T04:23:19,56,13,14945
2022-08-28T04:23:20,61,15,14945
2022-08-28T04:23:21,12,4,14945
2022-08-28T04:23:22,61,15,14945
2022-08-28T04:23:23,61,15,14945
2022-08-28T04:23:24,46,12,14945
2022-08-28T04:23:25,67,18,14945
2022-08-28T04:23:26,49,12,14945
2022-08-28T04:23:27,14,3,14945
2022-08-28T04:23:28,54,13,14945
2022-08-28T04:23:29,30,8,14945
2022-08-28T04:23:30,48,12,14945
2022-08-28T04:23:31,44,11,14945
2022-08-28T04:23:32,76,20,14945
2022-08-28T04:23:33,57,15,14945
2022-08-28T04:23:34,50,12,14945
2022-08-28T04:23:35,61,14,14945
2022-08-28T04:23:36,70,18,14945
2022-08-28T04:23:37,53,14,14945
2022-08-28T04:23:38,54,13,14945
2022-08-28T04:23:39,67,16,14945
2022-08-28T04:23:40,49,13,14945
2022-08-28T04:23:42,64,14,14945
2022-08-28T04:23:43,78,20,14945
2022-08-28T04:23:44,0,0,14945
2022-08-28T04:23:45,81,20,14945
2022-08-28T04:23:46,63,16,14945
2022-08-28T04:23:47,46,13,14945
2022-08-28T04:23:48,57,13,14945
2022-08-28T04:23:49,66,16,14945
2022-08-28T04:23:50,29,8,14945
2022-08-28T04:23:51,54,13,14945
2022-08-28T04:23:52,55,13,14945
2022-08-28T04:23:53,64,15,14945
2022-08-28T04:23:54,78,20,14945
